,Airline,Date_of_Journey,Source,Destination,Route,Duration,Total_Stops,Price,Arrival_Hour,Arrival_Day,Arrival_Min,Dep_Hour,Dep_Day,Dep_Min,Journey_Day,Journey_Month,Journey_Year,Journey_DOW,Dep_HourOfDay
2749,IndiGo,2019-05-15,Delhi,Cochin,DEL → BOM → COK,570,1,7923,1,16,30,16,15,0,15,5,2019,2,Noon
2750,Jet Airways,2019-12-05,Kolkata,Banglore,CCU → BOM → BLR,520,1,8586,4,13,40,20,5,0,5,12,2019,3,Evening
2751,Multiple carriers,2019-03-06,Delhi,Cochin,DEL → HYD → COK,555,1,9646,22,18,30,13,6,15,6,3,2019,2,Noon
2752,Jet Airways,2019-05-18,Kolkata,Banglore,CCU → BOM → BLR,1315,1,14388,12,19,0,14,18,5,18,5,2019,5,Noon
2753,Jet Airways,2019-12-06,Kolkata,Banglore,CCU → BOM → BLR,1430,1,13044,16,13,20,16,6,30,6,12,2019,4,Noon
2754,Multiple carriers,2019-05-21,Delhi,Cochin,DEL → BOM → COK,540,1,10197,19,18,0,10,21,0,21,5,2019,1,Morning
2755,Jet Airways,2019-01-06,Delhi,Cochin,DEL → BOM → COK,1395,1,14714,19,2,0,19,6,45,6,1,2019,6,Evening
2756,Air India,2019-01-06,Delhi,Cochin,DEL → BOM → COK,555,1,9929,19,18,15,10,6,0,6,1,2019,6,Morning
2757,Jet Airways,2019-03-21,Delhi,Cochin,DEL → BOM → COK,335,1,6017,4,22,25,22,21,50,21,3,2019,3,Night
2758,SpiceJet,2019-06-27,Chennai,Kolkata,MAA → CCU,135,0,3597,12,18,0,9,27,45,27,6,2019,3,Morning
2759,Air India,2019-03-21,Delhi,Cochin,DEL → BLR → COK,570,1,5704,23,18,0,13,21,30,21,3,2019,3,Noon
2760,Jet Airways,2019-03-06,Delhi,Cochin,DEL → BOM → COK,520,1,14714,4,4,25,19,6,45,6,3,2019,2,Evening
2761,Air India,2019-12-05,Banglore,Delhi,BLR → DEL,165,0,5228,12,18,45,10,5,0,5,12,2019,3,Morning
2762,Jet Airways,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,1520,1,11467,10,2,55,9,4,35,4,1,2019,4,Morning
2763,Vistara,2019-06-06,Banglore,Delhi,BLR → DEL,170,0,4668,12,18,35,9,6,45,6,6,2019,3,Morning
2764,IndiGo,2019-04-18,Banglore,Delhi,BLR → DEL,180,0,4591,0,19,15,21,18,15,18,4,2019,3,Night
2765,IndiGo,2019-12-05,Banglore,Delhi,BLR → DEL,180,0,3943,0,13,15,21,5,15,5,12,2019,3,Night
2766,Air India,2019-04-21,Banglore,Delhi,BLR → DEL,165,0,5228,12,18,45,10,21,0,21,4,2019,6,Morning
2767,Jet Airways,2019-03-27,Delhi,Cochin,DEL → BOM → COK,995,1,12242,18,18,50,2,27,15,27,3,2019,2,late night
2768,Air India,2019-09-06,Delhi,Cochin,DEL → HYD → MAA → COK,1580,2,11185,9,10,25,7,6,5,6,9,2019,4,Early Morning
2769,IndiGo,2019-09-04,Delhi,Cochin,DEL → BOM → COK,975,1,6573,1,10,30,9,4,15,4,9,2019,2,Morning
2770,Jet Airways,2019-05-15,Kolkata,Banglore,CCU → BOM → BLR,365,1,14781,22,18,35,16,15,30,15,5,2019,2,Noon
2771,Air India,2019-12-06,Kolkata,Banglore,CCU → GAU → DEL → BLR,970,2,14960,8,13,55,16,6,45,6,12,2019,4,Noon
2772,IndiGo,2019-05-15,Chennai,Kolkata,MAA → CCU,145,0,4332,14,18,0,11,15,35,15,5,2019,2,Morning
2773,Air Asia,2019-03-03,Banglore,Delhi,BLR → DEL,170,0,7652,8,18,40,5,3,50,3,3,2019,6,Early Morning
2774,Jet Airways,2019-05-24,Kolkata,Banglore,CCU → DEL → BLR,690,1,14151,21,18,5,9,24,35,24,5,2019,4,Morning
2775,SpiceJet,2019-12-06,Banglore,Delhi,BLR → DEL,170,0,4319,12,18,20,9,6,30,6,12,2019,4,Morning
2776,Jet Airways,2019-03-21,Delhi,Cochin,DEL → AMD → BOM → COK,1420,2,10929,18,22,50,19,21,10,21,3,2019,3,Evening
2777,Air India,2019-03-24,Kolkata,Banglore,CCU → DEL → VGA → BLR,1620,2,11491,10,25,0,7,24,0,24,3,2019,6,Early Morning
2778,IndiGo,2019-04-18,Delhi,Cochin,DEL → COK,195,0,6015,17,18,35,14,18,20,18,4,2019,3,Noon
2779,Jet Airways,2019-12-06,Kolkata,Banglore,CCU → DEL → BLR,690,1,12692,21,18,5,9,6,35,6,12,2019,4,Morning
2780,Air Asia,2019-09-03,Kolkata,Banglore,CCU → BLR,150,0,4384,1,10,20,22,3,50,3,9,2019,1,Night
2781,IndiGo,2019-03-06,Banglore,Delhi,BLR → DEL,165,0,3943,8,18,50,6,6,5,6,3,2019,2,Early Morning
2782,Jet Airways,2019-05-18,Delhi,Cochin,DEL → BOM → COK,600,1,12373,19,18,0,9,18,0,18,5,2019,5,Morning
2783,Jet Airways,2019-06-03,Banglore,Delhi,BLR → BOM → DEL,315,1,19225,13,18,15,8,3,0,3,6,2019,0,Early Morning
2784,Jet Airways,2019-09-03,Delhi,Cochin,DEL → BOM → COK,1385,1,14053,18,10,50,19,3,45,3,9,2019,1,Evening
2785,Air India,2019-12-04,Banglore,Delhi,BLR → DEL,170,0,5911,16,18,10,13,4,20,4,12,2019,2,Noon
2786,Multiple carriers,2019-09-06,Delhi,Cochin,DEL → BOM → COK,740,1,10877,19,18,0,6,6,40,6,9,2019,4,Early Morning
2787,Jet Airways,2019-06-06,Kolkata,Banglore,CCU → BOM → BLR,585,1,7757,4,7,40,18,6,55,6,6,2019,3,Evening
2788,IndiGo,2019-03-21,Delhi,Cochin,DEL → HYD → COK,515,1,6558,16,18,10,7,21,35,21,3,2019,3,Early Morning
2789,IndiGo,2019-04-21,Kolkata,Banglore,CCU → BLR,165,0,4804,12,18,20,9,21,35,21,4,2019,6,Morning
2790,Jet Airways,2019-03-18,Mumbai,Hyderabad,BOM → HYD,90,0,5678,17,18,20,15,18,50,18,3,2019,0,Noon
2791,Jet Airways,2019-09-05,Delhi,Cochin,DEL → BOM → COK,1105,1,12373,4,10,25,10,5,0,5,9,2019,3,Morning
2792,Jet Airways,2019-06-05,Banglore,Delhi,BLR → DEL,165,0,5198,8,18,45,6,5,0,5,6,2019,2,Early Morning
2793,IndiGo,2019-01-06,Kolkata,Banglore,CCU → BLR,150,0,6064,16,18,55,14,6,25,6,1,2019,6,Noon
2794,Jet Airways,2019-09-03,Delhi,Cochin,DEL → BOM → COK,395,1,15029,4,10,25,21,3,50,3,9,2019,1,Night
2795,Jet Airways,2019-09-04,Delhi,Cochin,DEL → JAI → BOM → COK,810,2,10909,19,18,0,5,4,30,4,9,2019,2,Early Morning
2796,Multiple carriers,2019-09-03,Delhi,Cochin,DEL → BOM → COK,665,1,18492,19,18,45,8,3,40,3,9,2019,1,Early Morning
2797,Jet Airways,2019-06-24,Delhi,Cochin,DEL → BOM → COK,1570,1,10262,4,25,25,2,24,15,24,6,2019,0,late night
2798,Jet Airways,2019-05-18,Kolkata,Banglore,CCU → GAU → BLR,345,1,8781,17,18,35,11,18,50,18,5,2019,5,Morning
2799,IndiGo,2019-05-27,Delhi,Cochin,DEL → HYD → COK,455,1,6442,16,18,10,8,27,35,27,5,2019,0,Early Morning
2800,Jet Airways,2019-12-03,Mumbai,Hyderabad,BOM → DEL → HYD,405,1,20120,16,18,35,9,3,50,3,12,2019,1,Morning
2801,Vistara,2019-05-27,Banglore,Delhi,BLR → DEL,165,0,4878,22,18,15,19,27,30,27,5,2019,0,Evening
2802,Jet Airways,2019-06-03,Banglore,Delhi,BLR → BOM → DEL,760,1,16736,18,18,25,5,3,45,3,6,2019,0,Early Morning
2803,SpiceJet,2019-05-24,Kolkata,Banglore,CCU → IXB → BLR,435,1,9630,18,18,30,11,24,15,24,5,2019,4,Morning
2804,Vistara,2019-09-05,Kolkata,Banglore,CCU → DEL → BLR,700,1,8610,18,18,50,7,5,10,5,9,2019,3,Early Morning
2805,Vistara,2019-06-27,Chennai,Kolkata,MAA → CCU,135,0,3687,9,18,20,7,27,5,27,6,2019,3,Early Morning
2806,Vistara,2019-05-15,Kolkata,Banglore,CCU → DEL → BLR,765,1,8452,9,16,5,20,15,20,15,5,2019,2,Evening
2807,IndiGo,2019-05-18,Banglore,Delhi,BLR → DEL,170,0,3943,13,18,20,10,18,30,18,5,2019,5,Morning
2808,IndiGo,2019-03-15,Mumbai,Hyderabad,BOM → HYD,85,0,3342,7,18,45,6,15,20,15,3,2019,4,Early Morning
2809,Jet Airways,2019-12-05,Kolkata,Banglore,CCU → DEL → BLR,1080,1,13067,14,13,25,20,5,25,5,12,2019,3,Evening
2810,Vistara,2019-06-05,Banglore,Delhi,BLR → DEL,165,0,4878,22,18,15,19,5,30,5,6,2019,2,Evening
2811,Jet Airways,2019-09-05,Kolkata,Banglore,CCU → BOM → BLR,775,1,14388,10,10,5,21,5,10,5,9,2019,3,Night
2812,Jet Airways,2019-05-27,Delhi,Cochin,DEL → AMD → BOM → COK,900,2,16704,4,28,25,13,27,25,27,5,2019,0,Noon
2813,Air India,2019-05-21,Mumbai,Hyderabad,BOM → HYD,75,0,3100,20,18,45,19,21,30,21,5,2019,1,Evening
2814,Air India,2019-12-03,Banglore,Delhi,BLR → BOM → IDR → GWL → DEL,1480,3,13387,18,13,5,17,3,25,3,12,2019,1,Evening
2815,IndiGo,2019-09-06,Mumbai,Hyderabad,BOM → HYD,90,0,4049,10,18,40,9,6,10,6,9,2019,4,Morning
2816,Jet Airways,2019-05-18,Delhi,Cochin,DEL → JAI → BOM → COK,810,2,13029,19,18,0,5,18,30,18,5,2019,5,Early Morning
2817,SpiceJet,2019-09-04,Banglore,Delhi,BLR → DEL,175,0,3919,0,10,5,21,4,10,4,9,2019,2,Night
2818,IndiGo,2019-03-05,Chennai,Kolkata,MAA → CCU,145,0,3850,7,18,40,5,5,15,5,3,2019,1,Early Morning
2819,Air India,2019-06-24,Delhi,Cochin,DEL → HYD → MAA → COK,1210,2,8839,9,25,25,13,24,15,24,6,2019,0,Noon
2820,Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,730,1,7064,4,2,40,16,4,30,4,1,2019,4,Noon
2821,Jet Airways,2019-12-05,Kolkata,Banglore,CCU → BOM → BLR,735,1,13941,8,13,15,20,5,0,5,12,2019,3,Evening
2822,Air India,2019-05-24,Kolkata,Banglore,CCU → DEL → COK → TRV → BLR,1470,3,13007,10,25,30,10,24,0,24,5,2019,4,Morning
2823,Jet Airways,2019-05-18,Kolkata,Banglore,CCU → BOM → BLR,510,1,14781,22,18,35,14,18,5,18,5,2019,5,Noon
2824,Jet Airways,2019-03-18,Mumbai,Hyderabad,BOM → HYD,90,0,2071,21,18,5,19,18,35,18,3,2019,0,Evening
2825,Jet Airways,2019-06-21,Delhi,Cochin,DEL → COK,195,0,4256,14,18,15,11,21,0,21,6,2019,4,Morning
2826,Vistara,2019-09-03,Banglore,Delhi,BLR → DEL,155,0,7923,18,18,35,16,3,0,3,9,2019,1,Noon
2827,Air Asia,2019-03-15,Kolkata,Banglore,CCU → BLR,150,0,3782,1,16,20,22,15,50,15,3,2019,4,Night
2828,Jet Airways,2019-05-15,Kolkata,Banglore,CCU → DEL → BLR,800,1,12384,9,16,45,20,15,25,15,5,2019,2,Evening
2829,Multiple carriers,2019-03-21,Delhi,Cochin,DEL → BOM → COK,935,1,8565,1,22,35,10,21,0,21,3,2019,3,Morning
2830,IndiGo,2019-03-21,Delhi,Cochin,DEL → BOM → COK,300,1,6232,21,18,0,16,21,0,21,3,2019,3,Noon
2831,IndiGo,2019-09-03,Banglore,Delhi,BLR → DEL,170,0,4777,8,18,20,5,3,30,3,9,2019,1,Early Morning
2832,Air India,2019-01-06,Kolkata,Banglore,CCU → BLR,155,0,4145,23,18,20,20,6,45,6,1,2019,6,Evening
2833,Air Asia,2019-05-15,Kolkata,Banglore,CCU → DEL → BLR,720,1,5192,10,16,40,22,15,40,15,5,2019,2,Night
2834,Air India,2019-01-04,Delhi,Cochin,DEL → COK,170,0,4729,8,18,0,5,4,10,4,1,2019,4,Early Morning
2835,IndiGo,2019-03-06,Delhi,Cochin,DEL → BOM → COK,860,1,6093,21,18,0,6,6,40,6,3,2019,2,Early Morning
2836,Air India,2019-01-05,Kolkata,Banglore,CCU → BOM → BLR,545,1,8891,18,18,30,9,5,25,5,1,2019,5,Morning
2837,Jet Airways,2019-03-27,Delhi,Cochin,DEL → BOM → COK,745,1,12242,4,28,25,16,27,0,27,3,2019,2,Noon
2838,Jet Airways,2019-01-05,Kolkata,Banglore,CCU → DEL → BLR,1500,1,11467,18,2,0,17,5,0,5,1,2019,5,Evening
2839,Jet Airways,2019-05-21,Kolkata,Banglore,CCU → BOM → BLR,730,1,14781,9,22,20,21,21,10,21,5,2019,1,Night
2840,Multiple carriers,2019-05-18,Delhi,Cochin,DEL → BOM → COK,720,1,10197,19,18,0,7,18,0,18,5,2019,5,Early Morning
2841,Jet Airways,2019-06-03,Banglore,Delhi,BLR → BOM → DEL,725,1,17261,9,7,30,21,3,25,3,6,2019,0,Night
2842,Air India,2019-01-05,Delhi,Cochin,DEL → MAA → COK,765,1,7480,9,2,25,20,5,40,5,1,2019,5,Evening
2843,IndiGo,2019-05-21,Kolkata,Banglore,CCU → BLR,155,0,4804,18,18,5,15,21,30,21,5,2019,1,Noon
2844,SpiceJet,2019-04-21,Kolkata,Banglore,CCU → BLR,145,0,4439,11,18,25,9,21,0,21,4,2019,6,Morning
2845,Jet Airways,2019-06-06,Delhi,Cochin,DEL → JAI → BOM → COK,1375,2,10368,4,7,25,5,6,30,6,6,2019,3,Early Morning
2846,SpiceJet,2019-03-21,Delhi,Cochin,DEL → MAA → COK,310,1,6065,11,18,20,6,21,10,21,3,2019,3,Early Morning
2847,Jet Airways,2019-05-24,Kolkata,Banglore,CCU → BOM → BLR,585,1,8586,4,25,40,18,24,55,24,5,2019,4,Evening
2848,IndiGo,2019-03-18,Delhi,Cochin,DEL → COK,185,0,5406,17,18,35,14,18,30,18,3,2019,0,Noon
2849,Jet Airways,2019-06-06,Delhi,Cochin,DEL → BDQ → BOM → COK,600,2,12142,4,7,25,18,6,25,6,6,2019,3,Evening
2850,Jet Airways,2019-06-06,Delhi,Cochin,DEL → BOM → COK,620,1,14714,12,18,35,2,6,15,6,6,2019,3,late night
2851,Jet Airways,2019-06-15,Delhi,Cochin,DEL → BOM → COK,1570,1,10262,4,16,25,2,15,15,15,6,2019,5,late night
2852,Air India,2019-06-03,Banglore,Delhi,BLR → MAA → DEL,725,1,15434,23,18,55,11,3,50,3,6,2019,0,Morning
2853,Air India,2019-05-18,Kolkata,Banglore,CCU → BBI → BOM → BLR,1390,2,10676,11,19,10,12,18,0,18,5,2019,5,Morning
2854,IndiGo,2019-04-21,Kolkata,Banglore,CCU → BLR,155,0,4804,22,18,55,20,21,20,21,4,2019,6,Evening
2855,Jet Airways,2019-09-06,Delhi,Cochin,DEL → JAI → BOM → COK,1025,2,13014,12,10,35,19,6,30,6,9,2019,4,Evening
2856,IndiGo,2019-03-05,Banglore,Delhi,BLR → DEL,170,0,3943,13,18,0,10,5,10,5,3,2019,1,Morning
2857,Air India,2019-06-03,Mumbai,Hyderabad,BOM → COK → MAA → HYD,990,2,9678,22,18,0,5,3,30,3,6,2019,0,Early Morning
2858,Jet Airways,2019-05-15,Kolkata,Banglore,CCU → BOM → BLR,685,1,14781,19,18,50,8,15,25,15,5,2019,2,Early Morning
2859,Multiple carriers,2019-05-15,Delhi,Cochin,DEL → BOM → COK,600,1,10197,19,18,0,9,15,0,15,5,2019,2,Morning
2860,Air India,2019-09-05,Delhi,Cochin,DEL → BHO → BOM → COK,800,2,10861,19,18,15,5,5,55,5,9,2019,3,Early Morning
2861,Jet Airways,2019-01-05,Kolkata,Banglore,CCU → BOM → BLR,450,1,10844,4,2,40,21,5,10,5,1,2019,5,Night
2862,Air India,2019-05-21,Delhi,Cochin,DEL → MAA → COK,965,1,7480,9,22,25,17,21,20,21,5,2019,1,Evening
2863,IndiGo,2019-06-24,Delhi,Cochin,DEL → BOM → COK,500,1,5684,1,25,30,17,24,10,24,6,2019,0,Evening
2864,Jet Airways,2019-06-06,Delhi,Cochin,DEL → BOM → COK,1620,1,14714,19,7,0,16,6,0,6,6,2019,3,Noon
2865,Jet Airways,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,505,1,9314,18,18,0,9,4,35,4,1,2019,4,Morning
2866,Air India,2019-03-15,Kolkata,Banglore,CCU → BLR,155,0,4435,23,18,20,20,15,45,15,3,2019,4,Evening
2867,Multiple carriers,2019-06-27,Delhi,Cochin,DEL → BOM → COK,690,1,11789,19,18,0,7,27,30,27,6,2019,3,Early Morning
2868,SpiceJet,2019-03-04,Banglore,Delhi,BLR → DEL,175,0,3919,0,4,5,21,4,10,4,3,2019,0,Night
2869,Jet Airways,2019-06-04,Banglore,Delhi,BLR → DEL,175,0,5198,18,18,10,15,4,15,4,6,2019,1,Noon
2870,SpiceJet,2019-03-24,Banglore,Delhi,BLR → DEL,170,0,4273,8,18,35,5,24,45,24,3,2019,6,Early Morning
2871,Vistara,2019-09-05,Kolkata,Banglore,CCU → DEL → BLR,1550,1,8820,18,10,50,17,5,0,5,9,2019,3,Evening
2872,IndiGo,2019-06-05,Mumbai,Hyderabad,BOM → HYD,90,0,2754,13,18,30,12,5,0,5,6,2019,2,Morning
2873,Vistara,2019-09-06,Kolkata,Banglore,CCU → DEL → BLR,1625,1,8085,23,10,25,20,6,20,6,9,2019,4,Evening
2874,Jet Airways,2019-09-06,Kolkata,Banglore,CCU → DEL → BLR,1480,1,10539,21,10,5,20,6,25,6,9,2019,4,Evening
2875,Jet Airways,2019-09-06,Kolkata,Banglore,CCU → DEL → BLR,750,1,14676,22,18,5,9,6,35,6,9,2019,4,Morning
2876,Jet Airways,2019-03-27,Delhi,Cochin,DEL → BOM → COK,1570,1,6017,4,28,25,2,27,15,27,3,2019,2,late night
2877,Jet Airways,2019-01-04,Banglore,Delhi,BLR → DEL,185,0,4544,22,18,0,18,4,55,4,1,2019,4,Evening
2878,Trujet,2019-06-03,Mumbai,Hyderabad,BOM → NDC → HYD,195,1,4140,16,18,20,13,3,5,3,6,2019,0,Noon
2879,Jet Airways,2019-03-05,Banglore,Delhi,BLR → DEL,175,0,7229,14,18,5,11,5,10,5,3,2019,1,Morning
2880,Air India,2019-09-03,Delhi,Cochin,DEL → GOI → BOM → COK,1275,2,16373,19,10,15,22,3,0,3,9,2019,1,Night
2881,Air India,2019-01-05,Kolkata,Banglore,CCU → IXR → DEL → BLR,1045,2,10991,23,18,15,5,5,50,5,1,2019,5,Early Morning
2882,Jet Airways,2019-05-18,Kolkata,Banglore,CCU → BOM → BLR,1315,1,9663,12,19,0,14,18,5,18,5,2019,5,Noon
2883,Air India,2019-01-03,Banglore,Delhi,BLR → COK → DEL,1520,1,14305,23,2,20,22,3,0,3,1,2019,3,Night
2884,Air Asia,2019-05-15,Delhi,Cochin,DEL → BLR → COK,865,1,6752,7,16,10,16,15,45,15,5,2019,2,Noon
2885,Jet Airways,2019-12-06,Kolkata,Banglore,CCU → BOM → BLR,1010,1,8529,9,13,20,16,6,30,6,12,2019,4,Noon
2886,IndiGo,2019-03-27,Delhi,Cochin,DEL → COK,195,0,4729,8,18,50,5,27,35,27,3,2019,2,Early Morning
2887,Multiple carriers,2019-05-18,Delhi,Cochin,DEL → BOM → COK,735,1,7670,21,18,0,8,18,45,18,5,2019,5,Early Morning
2888,Jet Airways,2019-03-05,Mumbai,Hyderabad,BOM → HYD,90,0,4995,11,18,50,10,5,20,5,3,2019,1,Morning
2889,Jet Airways,2019-01-05,Banglore,Delhi,BLR → DEL,180,0,7229,11,18,20,8,5,20,5,1,2019,5,Early Morning
2890,IndiGo,2019-04-27,Banglore,Delhi,BLR → DEL,175,0,4823,10,18,5,7,27,10,27,4,2019,5,Early Morning
2891,Air Asia,2019-03-27,Kolkata,Banglore,CCU → BLR,150,0,3782,22,18,5,19,27,35,27,3,2019,2,Evening
2892,Jet Airways,2019-05-21,Delhi,Cochin,DEL → BOM → COK,1485,1,12898,19,22,0,18,21,15,21,5,2019,1,Evening
2893,SpiceJet,2019-05-24,Kolkata,Banglore,CCU → BLR,140,0,3841,0,25,40,22,24,20,24,5,2019,4,Night
2894,Multiple carriers,2019-05-18,Delhi,Cochin,DEL → BOM → COK,505,1,9627,19,18,0,10,18,35,18,5,2019,5,Morning
2895,Jet Airways,2019-09-06,Kolkata,Banglore,CCU → BOM → BLR,890,1,14571,12,10,0,21,6,10,6,9,2019,4,Night
2896,IndiGo,2019-03-24,Kolkata,Banglore,CCU → BLR,155,0,6985,17,18,55,15,24,20,24,3,2019,6,Noon
2897,Jet Airways,2019-06-21,Mumbai,Hyderabad,BOM → HYD,85,0,8040,8,18,30,7,21,5,21,6,2019,4,Early Morning
2898,IndiGo,2019-06-21,Kolkata,Banglore,CCU → BLR,155,0,4804,0,22,50,22,21,15,21,6,2019,4,Night
2899,Multiple carriers,2019-06-27,Delhi,Cochin,DEL → BOM → COK,845,1,10678,19,18,0,4,27,55,27,6,2019,3,late night
2900,Jet Airways,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,1515,1,14231,18,25,10,16,24,55,24,3,2019,6,Noon
2901,Jet Airways,2019-12-06,Kolkata,Banglore,CCU → BOM → BLR,1220,1,8529,16,13,20,20,6,0,6,12,2019,4,Evening
2902,Air India,2019-06-24,Delhi,Cochin,DEL → GOI → BOM → COK,500,2,11753,19,18,15,10,24,55,24,6,2019,0,Morning
2903,Jet Airways,2019-05-18,Delhi,Cochin,DEL → AMD → BOM → COK,1760,2,16704,4,20,25,23,18,5,18,5,2019,5,Night
2904,Jet Airways,2019-06-06,Kolkata,Banglore,CCU → BOM → BLR,585,1,13374,4,7,40,18,6,55,6,6,2019,3,Evening
2905,Air India,2019-01-05,Mumbai,Hyderabad,BOM → HYD,80,0,3625,22,18,25,21,5,5,5,1,2019,5,Night
2906,Jet Airways,2019-05-21,Delhi,Cochin,DEL → BOM → COK,1620,1,16079,19,22,0,16,21,0,21,5,2019,1,Noon
2907,Jet Airways,2019-06-27,Delhi,Cochin,DEL → BOM → COK,940,1,10262,12,28,35,20,27,55,27,6,2019,3,Evening
2908,Jet Airways,2019-05-15,Kolkata,Banglore,CCU → BOM → BLR,330,1,9663,12,18,0,6,15,30,15,5,2019,2,Early Morning
2909,Multiple carriers,2019-05-18,Delhi,Cochin,DEL → BOM → COK,450,1,9595,1,19,30,18,18,0,18,5,2019,5,Evening
2910,IndiGo,2019-06-24,Kolkata,Banglore,CCU → BLR,155,0,4804,19,18,50,17,24,15,24,6,2019,0,Evening
2911,Air India,2019-09-06,Kolkata,Banglore,CCU → DEL → AMD → BLR,1165,2,12744,5,10,25,10,6,0,6,9,2019,4,Morning
2912,Air India,2019-01-06,Banglore,Delhi,BLR → DEL,170,0,6961,16,18,10,13,6,20,6,1,2019,6,Noon
2913,Jet Airways,2019-06-05,Kolkata,Banglore,CCU → BOM → BLR,875,1,9663,4,7,40,14,5,5,5,6,2019,2,Noon
2914,Multiple carriers,2019-05-21,Delhi,Cochin,DEL → BOM → COK,520,1,7575,19,18,15,10,21,35,21,5,2019,1,Morning
2915,Air India,2019-03-03,Banglore,Delhi,BLR → BOM → NAG → DEL,925,2,13355,10,7,35,19,3,10,3,3,2019,6,Evening
2916,Air India,2019-05-24,Kolkata,Banglore,CCU → BOM → COK → BLR,1700,2,12592,13,25,45,9,24,25,24,5,2019,4,Morning
2917,Air India,2019-01-06,Mumbai,Hyderabad,BOM → HYD,90,0,3625,15,18,25,13,6,55,6,1,2019,6,Noon
2918,Jet Airways,2019-06-24,Delhi,Cochin,DEL → BOM → COK,805,1,10262,4,25,25,15,24,0,24,6,2019,0,Noon
2919,Air India,2019-05-21,Delhi,Cochin,DEL → AMD → BOM → COK,1410,2,9443,19,22,15,19,21,45,21,5,2019,1,Evening
2920,Air India,2019-09-03,Delhi,Cochin,DEL → BOM → COK,635,1,18959,19,18,15,8,3,40,3,9,2019,1,Early Morning
2921,IndiGo,2019-03-03,Mumbai,Hyderabad,BOM → HYD,85,0,4784,7,18,45,6,3,20,3,3,2019,6,Early Morning
2922,Air India,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,1110,1,7893,12,2,0,17,4,30,4,1,2019,4,Evening
2923,Air India,2019-06-27,Delhi,Cochin,DEL → CCU → BOM → COK,1490,2,14431,7,28,40,6,27,50,27,6,2019,3,Early Morning
2924,Jet Airways Business,2019-01-03,Banglore,Delhi,BLR → BOM → DEL,340,1,79512,11,18,25,5,3,45,3,1,2019,3,Early Morning
2925,Jet Airways,2019-05-24,Mumbai,Hyderabad,BOM → HYD,90,0,3210,21,18,5,19,24,35,24,5,2019,4,Evening
2926,Multiple carriers,2019-09-03,Delhi,Cochin,DEL → BOM → COK,900,1,13677,21,18,0,6,3,0,3,9,2019,1,Early Morning
2927,Air India,2019-05-27,Delhi,Cochin,DEL → MAA → COK,1640,1,7480,9,28,25,6,27,5,27,5,2019,0,Early Morning
2928,Air India,2019-06-24,Delhi,Cochin,DEL → BOM → COK,760,1,8372,7,25,40,19,24,0,24,6,2019,0,Evening
2929,Jet Airways,2019-03-27,Delhi,Cochin,DEL → IDR → BOM → COK,1380,2,11664,4,28,25,5,27,25,27,3,2019,2,Early Morning
2930,Air India,2019-06-18,Banglore,Delhi,BLR → DEL,165,0,6961,12,18,45,10,18,0,18,6,2019,1,Morning
2931,Air India,2019-04-24,Banglore,Delhi,BLR → DEL,165,0,6121,19,18,45,17,24,0,24,4,2019,2,Evening
2932,Air India,2019-12-04,Banglore,Delhi,BLR → DEL,165,0,5911,8,18,55,6,4,10,4,12,2019,2,Early Morning
2933,GoAir,2019-06-05,Banglore,Delhi,BLR → DEL,170,0,3398,14,18,30,11,5,40,5,6,2019,2,Morning
2934,Multiple carriers,2019-09-06,Delhi,Cochin,DEL → BOM → COK,390,1,7530,1,10,30,19,6,0,6,9,2019,4,Evening
2935,GoAir,2019-05-24,Banglore,Delhi,BLR → DEL,165,0,3419,23,18,40,20,24,55,24,5,2019,4,Evening
2936,Vistara,2019-03-24,Banglore,Delhi,BLR → DEL,175,0,6558,0,25,5,21,24,10,24,3,2019,6,Night
2937,Air India,2019-09-06,Kolkata,Banglore,CCU → DEL → BLR,1435,1,10203,20,10,25,20,6,30,6,9,2019,4,Evening
2938,Jet Airways,2019-12-03,Banglore,Delhi,BLR → BOM → DEL,1525,1,11087,20,13,20,18,3,55,3,12,2019,1,Evening
2939,SpiceJet,2019-03-24,Banglore,Delhi,BLR → DEL,170,0,5575,23,18,20,20,24,30,24,3,2019,6,Evening
2940,Air Asia,2019-04-24,Delhi,Cochin,DEL → BLR → COK,870,1,6152,22,18,25,7,24,55,24,4,2019,2,Early Morning
2941,Jet Airways,2019-09-05,Kolkata,Banglore,CCU → GAU → BLR,435,1,5608,17,18,35,10,5,20,5,9,2019,3,Morning
2942,Jet Airways,2019-06-03,Banglore,Delhi,BLR → BOM → DEL,1365,1,17261,10,7,25,11,3,40,3,6,2019,0,Morning
2943,Jet Airways,2019-09-05,Delhi,Cochin,DEL → JAI → BOM → COK,1615,2,15129,12,10,35,9,5,40,5,9,2019,3,Morning
2944,GoAir,2019-06-05,Banglore,Delhi,BLR → DEL,165,0,3419,23,18,40,20,5,55,5,6,2019,2,Evening
2945,IndiGo,2019-03-21,Delhi,Cochin,DEL → BOM → COK,285,1,6218,15,18,30,10,21,45,21,3,2019,3,Morning
2946,Jet Airways,2019-03-06,Delhi,Cochin,DEL → BOM → COK,620,1,14714,12,18,35,2,6,15,6,3,2019,2,late night
