,Airline,Date_of_Journey,Source,Destination,Route,Duration,Total_Stops,Price,Arrival_Hour,Arrival_Day,Arrival_Min,Dep_Hour,Dep_Day,Dep_Min,Journey_Day,Journey_Month,Journey_Year
1050,Multiple carriers,2019-06-24,Delhi,Cochin,DEL → BOM → COK,520,1,7155,19,17,15,10,17,35,24,6,2019
1051,Multiple carriers,2019-09-06,Delhi,Cochin,DEL → BOM → COK,660,1,12192,19,17,0,8,17,0,6,9,2019
1052,Air Asia,2019-05-18,Delhi,Cochin,DEL → BLR → COK,865,1,7353,7,19,10,16,17,45,18,5,2019
1053,IndiGo,2019-06-27,Delhi,Cochin,DEL → HYD → COK,275,1,5054,12,17,10,7,17,35,27,6,2019
1054,Multiple carriers,2019-06-15,Delhi,Cochin,DEL → IXU → BOM → COK,460,2,18485,1,16,30,17,17,50,15,6,2019
1055,Jet Airways,2019-06-06,Kolkata,Banglore,CCU → BOM → BLR,705,1,10844,18,17,15,6,17,30,6,6,2019
1056,Jet Airways,2019-05-18,Banglore,Delhi,BLR → DEL,180,0,6144,11,17,20,8,17,20,18,5,2019
1057,IndiGo,2019-01-05,Mumbai,Hyderabad,BOM → HYD,90,0,2754,20,17,35,19,17,5,5,1,2019
1058,Multiple carriers,2019-03-27,Delhi,Cochin,DEL → BOM → COK,630,1,12327,1,28,35,15,17,5,27,3,2019
1059,SpiceJet,2019-06-05,Kolkata,Banglore,CCU → BLR,155,0,3841,9,17,30,6,17,55,5,6,2019
1060,Jet Airways,2019-05-18,Delhi,Cochin,DEL → BOM → COK,335,1,12373,4,19,25,22,17,50,18,5,2019
1061,Air India,2019-05-21,Delhi,Cochin,DEL → GOI → BOM → COK,1275,2,10231,19,22,15,22,17,0,21,5,2019
1062,IndiGo,2019-05-21,Delhi,Cochin,DEL → BOM → COK,705,1,7318,21,17,0,9,17,15,21,5,2019
1063,Jet Airways,2019-06-03,Banglore,New Delhi,BLR → BOM → DEL,1200,1,16736,7,7,40,11,17,40,3,6,2019
1064,IndiGo,2019-09-06,Delhi,Cochin,DEL → LKO → COK,345,1,6195,3,10,35,21,17,50,6,9,2019
1065,SpiceJet,2019-06-06,Mumbai,Hyderabad,BOM → HYD,90,0,2753,7,17,15,5,17,45,6,6,2019
1066,SpiceJet,2019-03-24,Chennai,Kolkata,MAA → CCU,155,0,3807,12,17,5,9,17,30,24,3,2019
1067,Jet Airways,2019-03-03,Delhi,Cochin,DEL → IDR → BOM → COK,2820,2,20064,4,5,25,5,17,25,3,3,2019
1068,IndiGo,2019-06-21,Delhi,Cochin,DEL → COK,195,0,5406,0,22,20,21,17,5,21,6,2019
1069,Air India,2019-01-06,Delhi,Cochin,DEL → GOI → BOM → COK,1275,2,10441,19,2,15,22,17,0,6,1,2019
1070,Jet Airways,2019-06-05,Kolkata,Banglore,CCU → DEL → BLR,800,1,8066,9,7,45,20,17,25,5,6,2019
1071,Air India,2019-06-27,Banglore,Delhi,BLR → DEL,165,0,6961,19,17,45,17,17,0,27,6,2019
1072,Vistara,2019-03-21,Delhi,Cochin,DEL → COK,175,0,5586,17,17,50,14,17,55,21,3,2019
1073,Air India,2019-01-06,Delhi,Cochin,DEL → BLR → COK,320,1,7384,23,17,0,17,17,40,6,1,2019
1074,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,1280,1,20800,9,2,0,11,17,40,3,1,2019
1075,Jet Airways,2019-12-05,Kolkata,Banglore,CCU → BOM → BLR,330,1,13941,12,17,0,6,17,30,5,12,2019
1076,Jet Airways,2019-03-05,Banglore,Delhi,BLR → DEL,180,0,5198,11,17,20,8,17,20,5,3,2019
1077,SpiceJet,2019-03-18,Chennai,Kolkata,MAA → CCU,155,0,3807,12,17,5,9,17,30,18,3,2019
1078,Multiple carriers,2019-03-03,Delhi,Cochin,DEL → HYD → COK,755,1,13838,22,17,20,9,17,45,3,3,2019
1079,Air India,2019-06-24,Delhi,Cochin,DEL → HYD → MAA → COK,1580,2,11185,9,25,25,7,17,5,24,6,2019
1080,Jet Airways,2019-06-21,Banglore,Delhi,BLR → DEL,175,0,7229,18,17,10,15,17,15,21,6,2019
1081,Jet Airways,2019-12-06,Delhi,Cochin,DEL → BOM → COK,395,1,10262,4,13,25,21,17,50,6,12,2019
1082,Air Asia,2019-09-03,Kolkata,Banglore,CCU → BLR,150,0,4384,22,17,5,19,17,35,3,9,2019
1083,Jet Airways,2019-06-27,Delhi,Cochin,DEL → AMD → BOM → COK,1390,2,12819,12,28,35,13,17,25,27,6,2019
1084,Jet Airways,2019-06-05,Kolkata,Banglore,CCU → BOM → BLR,775,1,7757,10,7,5,21,17,10,5,6,2019
1085,Air India,2019-04-21,Delhi,Cochin,DEL → BLR → COK,1590,1,7174,23,22,0,20,17,30,21,4,2019
1086,IndiGo,2019-01-06,Delhi,Cochin,DEL → HYD → COK,635,1,6674,22,17,30,11,17,55,6,1,2019
1087,IndiGo,2019-05-18,Mumbai,Hyderabad,BOM → HYD,95,0,2227,21,17,40,20,17,5,18,5,2019
1088,Jet Airways,2019-12-06,Delhi,Cochin,DEL → JAI → BOM → COK,1025,2,13014,12,13,35,19,17,30,6,12,2019
1089,IndiGo,2019-03-21,Mumbai,Hyderabad,BOM → HYD,90,0,3175,18,17,25,16,17,55,21,3,2019
1090,IndiGo,2019-01-03,Kolkata,Banglore,CCU → BLR,165,0,6565,12,17,20,9,17,35,3,1,2019
1091,Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,1720,1,12681,23,2,35,18,17,55,4,1,2019
1092,Vistara,2019-01-06,Chennai,Kolkata,MAA → CCU,135,0,3687,9,17,20,7,17,5,6,1,2019
1093,Jet Airways,2019-06-15,Mumbai,Hyderabad,BOM → HYD,90,0,3210,21,17,5,19,17,35,15,6,2019
1094,IndiGo,2019-06-03,Kolkata,Banglore,CCU → BLR,160,0,4778,23,17,5,20,17,25,3,6,2019
1095,Multiple carriers,2019-03-06,Delhi,Cochin,DEL → BOM → COK,455,1,10877,19,17,0,11,17,25,6,3,2019
1096,Vistara,2019-05-24,Kolkata,Banglore,CCU → DEL → BLR,865,1,9187,10,25,45,20,17,20,24,5,2019
1097,Air India,2019-03-15,Banglore,New Delhi,BLR → COK → DEL,1520,1,6850,23,16,20,22,17,0,15,3,2019
1098,Jet Airways,2019-12-05,Kolkata,Banglore,CCU → BOM → BLR,590,1,14781,18,17,15,8,17,25,5,12,2019
1099,Air India,2019-06-05,Kolkata,Banglore,CCU → GAU → DEL → BLR,970,2,13227,8,7,55,16,17,45,5,6,2019
1100,Vistara,2019-09-05,Banglore,Delhi,BLR → DEL,160,0,4668,9,17,40,7,17,0,5,9,2019
1101,Jet Airways,2019-05-24,Kolkata,Banglore,CCU → BOM → BLR,330,1,14178,12,17,0,6,17,30,24,5,2019
1102,Jet Airways,2019-06-05,Kolkata,Banglore,CCU → DEL → BLR,1005,1,8066,9,7,45,17,17,0,5,6,2019
1103,IndiGo,2019-06-05,Banglore,Delhi,BLR → DEL,170,0,3943,15,17,50,13,17,0,5,6,2019
1104,Multiple carriers,2019-01-06,Delhi,Cochin,DEL → BOM → COK,690,1,11200,19,17,0,7,17,30,6,1,2019
1105,Jet Airways,2019-05-18,Kolkata,Banglore,CCU → BOM → BLR,585,1,8586,4,19,40,18,17,55,18,5,2019
1106,Jet Airways,2019-12-06,Kolkata,Banglore,CCU → BOM → BLR,775,1,13044,10,13,5,21,17,10,6,12,2019
1107,Multiple carriers,2019-03-06,Delhi,Cochin,DEL → BOM → COK,600,1,8099,19,17,15,9,17,15,6,3,2019
1108,Jet Airways,2019-06-15,Delhi,Cochin,DEL → BOM → COK,655,1,10262,4,16,25,17,17,30,15,6,2019
1109,Multiple carriers,2019-06-24,Delhi,Cochin,DEL → IXU → BOM → COK,460,2,18275,1,25,30,17,17,50,24,6,2019
1110,Multiple carriers,2019-05-27,Delhi,Cochin,DEL → BOM → COK,900,1,8475,21,17,0,6,17,0,27,5,2019
1111,SpiceJet,2019-06-04,Kolkata,Banglore,CCU → BLR,140,0,3873,0,7,40,22,17,20,4,6,2019
1112,IndiGo,2019-06-21,Mumbai,Hyderabad,BOM → HYD,90,0,2227,22,17,50,21,17,20,21,6,2019
1113,Jet Airways,2019-06-03,Delhi,Cochin,DEL → IDR → BOM → COK,2300,2,16389,19,7,45,5,17,25,3,6,2019
1114,Air India,2019-03-05,Banglore,Delhi,BLR → DEL,165,0,5228,8,17,55,6,17,10,5,3,2019
1115,Air India,2019-03-21,Banglore,New Delhi,BLR → MAA → DEL,1265,1,5092,8,19,55,11,17,50,21,3,2019
1116,IndiGo,2019-09-03,Banglore,New Delhi,BLR → DEL,175,0,4777,0,13,15,21,17,20,3,9,2019
1117,Air Asia,2019-03-24,Banglore,New Delhi,BLR → DEL,170,0,3383,8,17,40,5,17,50,24,3,2019
1118,Vistara,2019-05-21,Kolkata,Banglore,CCU → DEL → BLR,1555,1,8452,9,22,5,7,17,10,21,5,2019
1119,IndiGo,2019-05-27,Banglore,Delhi,BLR → DEL,170,0,3943,2,28,20,23,17,30,27,5,2019
1120,Air India,2019-06-24,Mumbai,Hyderabad,BOM → HYD,80,0,3100,22,17,25,21,17,5,24,6,2019
1121,IndiGo,2019-06-03,Delhi,Cochin,DEL → BOM → COK,985,1,14871,1,7,35,9,17,10,3,6,2019
1122,Jet Airways,2019-06-21,Banglore,Delhi,BLR → DEL,175,0,8016,14,17,5,11,17,10,21,6,2019
1123,Multiple carriers,2019-12-06,Delhi,Cochin,DEL → BOM → COK,780,1,11789,19,17,0,6,17,0,6,12,2019
1124,Multiple carriers,2019-05-15,Delhi,Cochin,DEL → BOM → COK,440,1,10529,19,17,0,11,17,40,15,5,2019
1125,Air Asia,2019-03-15,Banglore,New Delhi,BLR → DEL,170,0,5615,8,17,40,5,17,50,15,3,2019
1126,SpiceJet,2019-06-06,Kolkata,Banglore,CCU → MAA → BLR,315,1,4649,20,17,20,15,17,5,6,6,2019
1127,Air India,2019-09-06,Kolkata,Banglore,CCU → IXR → DEL → BLR,1045,2,12723,23,17,15,5,17,50,6,9,2019
1128,Jet Airways,2019-05-24,Kolkata,Banglore,CCU → BOM → BLR,705,1,10844,18,17,15,6,17,30,24,5,2019
1129,Jet Airways,2019-03-06,Delhi,Cochin,DEL → BOM → COK,1325,1,14714,19,4,0,20,17,55,6,3,2019
1130,Vistara,2019-12-06,Delhi,Cochin,DEL → COK,190,0,6216,17,17,50,14,17,40,6,12,2019
1131,IndiGo,2019-03-15,Kolkata,Banglore,CCU → BLR,165,0,4148,12,17,20,9,17,35,15,3,2019
1132,IndiGo,2019-06-03,Delhi,Cochin,DEL → HYD → COK,320,1,5647,12,17,0,6,17,40,3,6,2019
1133,Jet Airways,2019-05-15,Kolkata,Banglore,CCU → BOM → BLR,590,1,10844,18,17,15,8,17,25,15,5,2019
1134,IndiGo,2019-09-05,Delhi,Cochin,DEL → HYD → COK,425,1,6818,12,17,10,5,17,5,5,9,2019
1135,Air India,2019-05-27,Delhi,Cochin,DEL → GOI → BOM → COK,1245,2,13643,7,28,40,10,17,55,27,5,2019
1136,Multiple carriers,2019-03-27,Delhi,Cochin,DEL → BOM → COK,840,1,6358,21,17,0,7,17,0,27,3,2019
1137,Jet Airways,2019-01-06,Delhi,Cochin,DEL → BOM → COK,360,1,14714,19,17,0,13,17,0,6,1,2019
1138,SpiceJet,2019-04-21,Delhi,Cochin,DEL → PNQ → COK,270,1,6460,13,17,15,8,17,45,21,4,2019
1139,Jet Airways,2019-12-05,Kolkata,Banglore,CCU → BOM → BLR,890,1,9663,12,13,0,21,17,10,5,12,2019
1140,Jet Airways,2019-05-21,Kolkata,Banglore,CCU → BOM → BLR,1655,1,13941,10,22,5,6,17,30,21,5,2019
1141,Jet Airways,2019-03-27,Delhi,Cochin,DEL → BOM → COK,1440,1,5963,19,28,45,19,17,45,27,3,2019
1142,Jet Airways,2019-06-15,Delhi,Cochin,DEL → JAI → BOM → COK,1025,2,13014,12,16,35,19,17,30,15,6,2019
1143,Jet Airways,2019-09-05,Kolkata,Banglore,CCU → BOM → BLR,1010,1,9663,9,10,20,16,17,30,5,9,2019
1144,IndiGo,2019-06-04,Banglore,Delhi,BLR → DEL,170,0,4423,15,17,50,13,17,0,4,6,2019
1145,Jet Airways,2019-06-05,Delhi,Cochin,DEL → JDH → BOM → COK,440,2,21219,19,17,0,11,17,40,5,6,2019
1146,IndiGo,2019-05-24,Delhi,Cochin,DEL → BOM → COK,415,1,7503,1,25,30,18,17,35,24,5,2019
1147,IndiGo,2019-06-24,Kolkata,Banglore,CCU → BLR,160,0,4804,0,25,5,21,17,25,24,6,2019
1148,Jet Airways,2019-09-05,Delhi,Cochin,DEL → JAI → BOM → COK,1615,2,15129,12,10,35,9,17,40,5,9,2019
1149,Multiple carriers,2019-03-27,Delhi,Cochin,DEL → HYD → MAA → COK,850,2,6197,21,17,20,7,17,10,27,3,2019
1150,SpiceJet,2019-05-27,Chennai,Kolkata,MAA → CCU,140,0,3597,20,17,5,17,17,45,27,5,2019
1151,Multiple carriers,2019-03-27,Delhi,Cochin,DEL → BOM → COK,705,1,9100,19,17,15,7,17,30,27,3,2019
1152,Jet Airways,2019-01-06,Mumbai,Hyderabad,BOM → HYD,85,0,4050,8,17,30,7,17,5,6,1,2019
1153,Multiple carriers,2019-06-06,Delhi,Cochin,DEL → BOM → COK,930,1,7723,1,7,30,10,17,0,6,6,2019
1154,Jet Airways,2019-09-05,Delhi,Cochin,DEL → AMD → BOM → COK,1195,2,15129,19,10,0,23,17,5,5,9,2019
1155,Jet Airways,2019-05-18,Delhi,Cochin,DEL → BOM → COK,660,1,12373,19,17,0,8,17,0,18,5,2019
1156,IndiGo,2019-03-05,Banglore,Delhi,BLR → DEL,170,0,4591,2,4,20,23,17,30,5,3,2019
1157,SpiceJet,2019-09-03,Chennai,Kolkata,MAA → CCU,135,0,6300,10,17,35,8,17,20,3,9,2019
1158,Air India,2019-03-24,Banglore,New Delhi,BLR → DEL,165,0,5176,19,17,45,17,17,0,24,3,2019
1159,Multiple carriers,2019-06-15,Delhi,Cochin,DEL → BOM → COK,600,1,12717,19,17,0,9,17,0,15,6,2019
1160,Air India,2019-03-18,Chennai,Kolkata,MAA → CCU,135,0,4405,13,17,55,11,17,40,18,3,2019
1161,SpiceJet,2019-04-21,Delhi,Cochin,DEL → MAA → COK,380,1,6749,22,17,5,15,17,45,21,4,2019
1162,Jet Airways,2019-12-05,Kolkata,Banglore,CCU → GAU → BLR,435,1,7064,17,17,35,10,17,20,5,12,2019
1163,Jet Airways,2019-05-21,Delhi,Cochin,DEL → BOM → COK,330,1,16289,12,17,35,7,17,5,21,5,2019
1164,IndiGo,2019-03-15,Chennai,Kolkata,MAA → CCU,145,0,6297,14,17,0,11,17,35,15,3,2019
1165,Jet Airways,2019-12-05,Mumbai,Hyderabad,BOM → HYD,90,0,5678,21,17,5,19,17,35,5,12,2019
1166,Jet Airways,2019-01-05,Kolkata,Banglore,CCU → BOM → BLR,800,1,14388,9,2,20,20,17,0,5,1,2019
1167,Jet Airways,2019-04-18,Banglore,Delhi,BLR → DEL,165,0,7229,8,17,45,6,17,0,18,4,2019
1168,IndiGo,2019-03-24,Kolkata,Banglore,CCU → BBI → BLR,270,1,9806,16,17,25,11,17,55,24,3,2019
1169,IndiGo,2019-06-06,Delhi,Cochin,DEL → LKO → COK,345,1,6195,3,7,35,21,17,50,6,6,2019
1170,Jet Airways,2019-12-06,Kolkata,Banglore,CCU → BOM → BLR,1400,1,13044,18,13,15,18,17,55,6,12,2019
1171,Jet Airways,2019-06-27,Delhi,Cochin,DEL → LKO → BOM → COK,1000,2,13882,4,28,25,11,17,45,27,6,2019
1172,Jet Airways,2019-03-24,Banglore,New Delhi,BLR → BOM → DEL,300,1,8147,10,17,45,5,17,45,24,3,2019
1173,Air India,2019-09-04,Delhi,Cochin,DEL → HYD → BOM → COK,865,2,8052,7,10,40,17,17,15,4,9,2019
1174,Jet Airways,2019-01-05,Kolkata,Banglore,CCU → BOM → BLR,800,1,14781,19,17,50,6,17,30,5,1,2019
1175,Jet Airways,2019-05-24,Kolkata,Banglore,CCU → DEL → BLR,750,1,14151,22,17,5,9,17,35,24,5,2019
1176,IndiGo,2019-05-18,Kolkata,Banglore,CCU → NAG → BLR,325,1,6704,23,17,30,18,17,5,18,5,2019
1177,Jet Airways,2019-01-05,Kolkata,Banglore,CCU → BOM → BLR,1655,1,9663,12,2,0,8,17,25,5,1,2019
1178,IndiGo,2019-03-18,Kolkata,Banglore,CCU → BLR,155,0,4462,17,17,55,15,17,20,18,3,2019
1179,Jet Airways,2019-03-21,Delhi,Cochin,DEL → BDQ → BOM → COK,1060,2,8367,4,22,25,10,17,45,21,3,2019
1180,Jet Airways,2019-09-06,Delhi,Cochin,DEL → NAG → BOM → COK,1300,2,13376,4,10,25,6,17,45,6,9,2019
1181,Jet Airways,2019-05-21,Kolkata,Banglore,CCU → DEL → BLR,800,1,13067,9,22,45,20,17,25,21,5,2019
1182,IndiGo,2019-05-21,Kolkata,Banglore,CCU → BLR,150,0,5224,16,17,55,14,17,25,21,5,2019
1183,Multiple carriers,2019-03-21,Delhi,Cochin,DEL → BOM → COK,575,1,13542,1,22,35,16,17,0,21,3,2019
1184,GoAir,2019-05-24,Banglore,Delhi,BLR → DEL,175,0,3419,10,17,40,7,17,45,24,5,2019
1185,Multiple carriers,2019-06-03,Delhi,Cochin,DEL → HYD → MAA → COK,695,2,10444,21,17,20,9,17,45,3,6,2019
1186,IndiGo,2019-01-06,Kolkata,Banglore,CCU → BLR,155,0,4804,12,17,10,9,17,35,6,1,2019
1187,Jet Airways,2019-05-21,Mumbai,Hyderabad,BOM → HYD,85,0,4995,8,17,30,7,17,5,21,5,2019
1188,SpiceJet,2019-04-27,Delhi,Cochin,DEL → BLR → COK,295,1,4957,22,17,50,17,17,55,27,4,2019
1189,Jet Airways,2019-09-05,Delhi,Cochin,DEL → BOM → COK,450,1,15554,4,10,25,20,17,55,5,9,2019
1190,Jet Airways,2019-01-05,Kolkata,Banglore,CCU → BOM → BLR,960,1,9663,12,2,0,20,17,0,5,1,2019
1191,Jet Airways,2019-05-18,Kolkata,Banglore,CCU → DEL → BLR,1450,1,14151,9,19,45,9,17,35,18,5,2019
1192,IndiGo,2019-06-06,Delhi,Cochin,DEL → COK,195,0,5601,8,17,50,5,17,35,6,6,2019
1193,Multiple carriers,2019-05-15,Delhi,Cochin,DEL → BOM → COK,755,1,7787,19,17,15,6,17,40,15,5,2019
1194,Air India,2019-03-21,Banglore,New Delhi,BLR → MAA → DEL,725,1,5092,23,17,55,11,17,50,21,3,2019
1195,Jet Airways,2019-06-06,Kolkata,Banglore,CCU → BOM → BLR,730,1,10844,9,7,20,21,17,10,6,6,2019
1196,Multiple carriers,2019-09-03,Delhi,Cochin,DEL → IXU → BOM → COK,465,2,23583,1,10,35,17,17,50,3,9,2019
1197,Air India,2019-12-05,Kolkata,Banglore,CCU → BBI → BOM → BLR,1830,2,10676,18,13,30,12,17,0,5,12,2019
1198,SpiceJet,2019-06-06,Kolkata,Banglore,CCU → IXB → BLR,435,1,10156,18,17,30,11,17,15,6,6,2019
1199,Air Asia,2019-06-03,Delhi,Cochin,DEL → BLR → COK,865,1,8627,7,7,10,16,17,45,3,6,2019
1200,Air Asia,2019-05-21,Kolkata,Banglore,CCU → BLR,150,0,4409,12,17,15,9,17,45,21,5,2019
1201,Multiple carriers,2019-05-18,Delhi,Cochin,DEL → HYD → COK,385,1,9646,16,17,10,9,17,45,18,5,2019
1202,Jet Airways,2019-12-03,Banglore,New Delhi,BLR → BOM → DEL,900,1,13817,12,13,25,21,17,25,3,12,2019
1203,Air India,2019-09-05,Delhi,Cochin,DEL → UDR → BOM → COK,1100,2,13538,7,10,40,13,17,20,5,9,2019
1204,Air India,2019-09-05,Kolkata,Banglore,CCU → BBI → BOM → BLR,1195,2,9416,7,10,55,12,17,0,5,9,2019
1205,Jet Airways,2019-04-27,Banglore,Delhi,BLR → DEL,175,0,7229,14,17,5,11,17,10,27,4,2019
1206,Air India,2019-01-05,Kolkata,Banglore,CCU → DEL → BLR,795,1,10203,23,17,15,10,17,0,5,1,2019
1207,IndiGo,2019-05-21,Delhi,Cochin,DEL → HYD → COK,525,1,6778,0,22,55,16,17,10,21,5,2019
1208,IndiGo,2019-06-15,Mumbai,Hyderabad,BOM → HYD,90,0,2754,13,17,30,12,17,0,15,6,2019
1209,Air India,2019-01-05,Kolkata,Banglore,CCU → IXR → DEL → BLR,875,2,10991,20,17,25,5,17,50,5,1,2019
1210,Vistara,2019-05-27,Banglore,Delhi,BLR → DEL,170,0,4668,14,17,20,11,17,30,27,5,2019
1211,SpiceJet,2019-03-06,Delhi,Cochin,DEL → PNQ → COK,270,1,5726,13,17,15,8,17,45,6,3,2019
1212,Air India,2019-12-06,Kolkata,Banglore,CCU → GAU → DEL → BLR,805,2,14960,23,17,15,9,17,50,6,12,2019
1213,Air India,2019-05-21,Delhi,Cochin,DEL → MAA → COK,765,1,7480,9,22,25,20,17,40,21,5,2019
1214,Air Asia,2019-05-21,Kolkata,Banglore,CCU → BLR,150,0,4107,22,17,25,19,17,55,21,5,2019
1215,Jet Airways,2019-01-05,Kolkata,Banglore,CCU → DEL → BLR,1450,1,11467,9,2,45,9,17,35,5,1,2019
1216,IndiGo,2019-04-27,Delhi,Cochin,DEL → MAA → COK,325,1,5796,7,17,25,2,17,0,27,4,2019
1217,Jet Airways,2019-06-06,Delhi,Cochin,DEL → BOM → COK,1005,1,10262,19,17,0,2,17,15,6,6,2019
1218,Air India,2019-06-27,Delhi,Cochin,DEL → RPR → NAG → BOM → COK,1585,3,11543,7,28,40,5,17,15,27,6,2019
1219,IndiGo,2019-04-24,Delhi,Cochin,DEL → HYD → COK,320,1,5298,12,17,10,6,17,50,24,4,2019
1220,Air Asia,2019-04-27,Delhi,Cochin,DEL → BLR → COK,625,1,6451,7,28,10,20,17,45,27,4,2019
1221,Air India,2019-09-06,Kolkata,Banglore,CCU → BLR,150,0,6245,16,17,45,14,17,15,6,9,2019
1222,Jet Airways,2019-03-27,Mumbai,Hyderabad,BOM → HYD,90,0,2071,21,17,5,19,17,35,27,3,2019
1223,IndiGo,2019-05-15,Kolkata,Banglore,CCU → BLR,165,0,4804,12,17,20,9,17,35,15,5,2019
1224,Multiple carriers,2019-06-27,Delhi,Cochin,DEL → BOM → COK,810,1,7005,21,17,0,7,17,30,27,6,2019
1225,Jet Airways,2019-03-18,Banglore,New Delhi,BLR → BOM → DEL,400,1,12284,12,17,25,5,17,45,18,3,2019
1226,Air India,2019-09-05,Kolkata,Banglore,CCU → DEL → BLR,805,1,10203,20,17,25,7,17,0,5,9,2019
1227,IndiGo,2019-05-27,Delhi,Cochin,DEL → HYD → COK,490,1,6938,22,17,30,14,17,20,27,5,2019
1228,Multiple carriers,2019-12-06,Delhi,Cochin,DEL → BOM → COK,930,1,13377,1,13,30,10,17,0,6,12,2019
1229,Multiple carriers,2019-01-06,Delhi,Cochin,DEL → BOM → COK,600,1,9779,19,17,15,9,17,15,6,1,2019
1230,Air India,2019-05-15,Chennai,Kolkata,MAA → CCU,135,0,4667,13,17,55,11,17,40,15,5,2019
1231,Jet Airways,2019-03-04,Banglore,Delhi,BLR → DEL,180,0,4544,22,17,50,19,17,50,4,3,2019
1232,Jet Airways,2019-06-27,Delhi,Cochin,DEL → BOM → COK,395,1,16079,4,28,25,21,17,50,27,6,2019
1233,Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,1640,1,7064,19,2,50,16,17,30,4,1,2019
1234,Jet Airways,2019-05-18,Delhi,Cochin,DEL → BOM → COK,300,1,15554,19,17,0,14,17,0,18,5,2019
1235,SpiceJet,2019-05-18,Chennai,Kolkata,MAA → CCU,135,0,3543,12,17,0,9,17,45,18,5,2019
1236,Air India,2019-04-18,Banglore,Delhi,BLR → DEL,170,0,6121,16,17,10,13,17,20,18,4,2019
1237,IndiGo,2019-03-27,Delhi,Cochin,DEL → BOM → COK,425,1,8075,15,17,30,8,17,25,27,3,2019
1238,Multiple carriers,2019-03-06,Delhi,Cochin,DEL → BOM → COK,840,1,13377,1,4,30,11,17,30,6,3,2019
1239,Jet Airways,2019-05-24,Kolkata,Banglore,CCU → BOM → BLR,345,1,14571,19,17,50,14,17,5,24,5,2019
1240,SpiceJet,2019-04-24,Banglore,Delhi,BLR → DEL,160,0,3919,8,17,35,5,17,55,24,4,2019
1241,Jet Airways,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,590,1,14231,4,25,45,18,17,55,24,3,2019
1242,IndiGo,2019-03-15,Mumbai,Hyderabad,BOM → HYD,85,0,2754,20,17,30,19,17,5,15,3,2019
1243,Air India,2019-05-21,Delhi,Cochin,DEL → BLR → COK,320,1,8067,23,17,0,17,17,40,21,5,2019
1244,Vistara,2019-06-05,Kolkata,Banglore,CCU → DEL → BLR,930,1,8452,22,17,40,7,17,10,5,6,2019
1245,Jet Airways,2019-06-03,Banglore,New Delhi,BLR → BOM → DEL,1280,1,15025,11,7,25,14,17,5,3,6,2019
1246,Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,435,1,26890,16,17,10,8,17,55,3,1,2019
1247,Jet Airways,2019-06-03,Delhi,Cochin,DEL → BOM → COK,350,1,15103,18,17,50,13,17,0,3,6,2019
1248,Jet Airways,2019-05-24,Kolkata,Banglore,CCU → BOM → BLR,875,1,8586,4,25,40,14,17,5,24,5,2019
1249,Jet Airways,2019-09-06,Kolkata,Banglore,CCU → BOM → BLR,475,1,10844,16,17,20,8,17,25,6,9,2019
1250,Jet Airways,2019-05-21,Delhi,Cochin,DEL → BOM → COK,395,1,12898,4,22,25,21,17,50,21,5,2019
1251,Jet Airways,2019-12-05,Kolkata,Banglore,CCU → BOM → BLR,1545,1,8586,8,13,15,6,17,30,5,12,2019
1252,Multiple carriers,2019-09-06,Delhi,Cochin,DEL → BOM → COK,630,1,11622,19,17,0,8,17,30,6,9,2019
1253,Air India,2019-06-05,Delhi,Cochin,DEL → LKO → BOM → COK,1855,2,13538,19,7,15,12,17,20,5,6,2019
1254,Jet Airways,2019-01-06,Delhi,Cochin,DEL → JAI → BOM → COK,1375,2,13014,4,2,25,5,17,30,6,1,2019
1255,Jet Airways,2019-09-05,Kolkata,Banglore,CCU → BOM → BLR,910,1,13941,10,10,5,18,17,55,5,9,2019
1256,Jet Airways,2019-05-18,Kolkata,Banglore,CCU → DEL → BLR,1520,1,14151,10,19,55,9,17,35,18,5,2019
1257,Multiple carriers,2019-03-21,Delhi,Cochin,DEL → BOM → COK,485,1,13542,1,22,35,17,17,30,21,3,2019
1258,IndiGo,2019-03-21,Delhi,Cochin,DEL → HYD → COK,940,1,6558,22,17,20,6,17,40,21,3,2019
1259,Air Asia,2019-05-18,Kolkata,Banglore,CCU → DEL → BLR,710,1,5192,19,17,25,7,17,35,18,5,2019
1260,Vistara,2019-01-06,Banglore,Delhi,BLR → DEL,160,0,4878,9,17,40,7,17,0,6,1,2019
1261,Jet Airways,2019-05-27,Delhi,Cochin,DEL → BOM → COK,1295,1,12898,12,28,35,15,17,0,27,5,2019
1262,Air India,2019-09-06,Delhi,Cochin,DEL → BLR → COK,320,1,7384,23,17,0,17,17,40,6,9,2019
1263,GoAir,2019-03-05,Banglore,Delhi,BLR → DEL,175,0,3898,10,17,40,7,17,45,5,3,2019
1264,Air Asia,2019-06-05,Banglore,Delhi,BLR → DEL,170,0,3383,2,7,45,23,17,55,5,6,2019
1265,IndiGo,2019-06-24,Delhi,Cochin,DEL → BOM → COK,860,1,6093,21,17,0,6,17,40,24,6,2019
